athlete_id,edition_year,total_medals,participation_number
1,1912,2,1
1,1920,3,2
2,1996,2,1
3,1924,3,1
4,1920,2,1
4,1924,1,2
5,1912,3,1
6,1992,2,1
7,1992,1,1
7,1996,2,2
7,2000,1,3
7,2004,1,4
7,2008,1,5
8,1924,3,1
9,1924,1,1
10,1900,4,1
11,1900,6,1
12,1900,5,1
12,1908,2,2
12,1912,2,3
12,1920,3,4
13,1896,2,1
14,1900,4,1
15,1992,1,1
15,1996,1,2
15,2000,2,3
15,2008,1,4
16,1900,2,1
17,1984,1,1
17,1988,2,2
17,1992,2,3
18,1988,2,1
18,1992,2,2
18,1996,2,3
18,2000,2,4
19,1900,3,1
19,1908,2,2
19,1912,2,3
20,1912,2,1
21,1920,1,1
22,1924,2,1
23,1912,2,1
23,1920,1,2
24,1900,4,1
25,1900,4,1
26,1988,2,1
26,1992,2,2
27,1996,1,1
27,2000,2,2
27,2008,1,3
28,1900,13,1
29,1900,2,1
30,1912,2,1
31,1900,6,1
32,1996,2,1
33,1992,1,1
34,1912,2,1
34,1920,2,2
35,1992,1,1
35,2000,1,2
35,2004,2,3
36,1996,1,1
37,1900,4,1
38,1912,2,1
39,1920,3,1
40,1908,2,1
41,1992,1,1
41,1996,2,2
42,1992,1,1
43,1908,1,1
44,1924,1,1
45,1900,5,1
45,1908,1,2
46,1924,3,1
47,1908,1,1
48,1988,2,1
48,1992,1,2
49,1992,1,1
50,1992,1,1
51,1908,2,1
52,1912,2,1
53,1920,3,1
54,1992,1,1
54,1996,1,2
55,1992,1,1
56,1996,1,1
57,1908,2,1
58,1992,2,1
58,1996,2,2
59,1920,3,1
59,1924,3,2
60,1920,3,1
61,1996,2,1
61,2000,1,2
61,2004,1,3
62,1908,1,1
63,1992,1,1
63,1996,3,2
64,1912,2,1
65,1908,1,1
66,1992,1,1
67,1924,1,1
68,1924,2,1
69,1992,2,1
70,1992,1,1
71,1908,1,1
72,1988,2,1
72,1992,1,2
72,1996,2,3
73,1996,2,1
73,2000,2,2
74,1988,1,1
75,1996,2,1
75,2000,2,2
76,1908,4,1
76,1912,3,2
77,1988,2,1
78,1912,2,1
78,1920,3,2
79,1896,3,1
80,1996,1,1
81,1908,3,1
81,1912,2,2
82,1988,2,1
82,1992,2,2
83,1908,1,1
84,1996,1,1
85,1988,2,1
85,1992,1,2
86,1908,2,1
87,1908,2,1
87,1912,3,2
88,1900,8,1
88,1908,1,2
89,1900,8,1
89,1908,1,2
90,1988,2,1
91,1908,4,1
92,1908,2,1
93,1996,1,1
94,1924,2,1
95,1924,2,1
96,1992,1,1
97,1908,4,1
97,1912,2,2
98,1988,1,1
98,1992,1,2
98,1996,2,3
99,1996,2,1
99,2000,1,2
99,2004,1,3
100,1908,3,1
101,1992,1,1
101,1996,2,2
101,2000,1,3
102,1924,2,1
103,1996,2,1
103,2000,2,2
104,1912,2,1
105,1912,2,1
105,1920,3,2
106,1900,7,1
107,1912,3,1
108,1992,1,1
109,1900,5,1
110,1908,2,1
111,1992,1,1
111,1996,2,2
112,1988,2,1
112,1992,2,2
112,1996,1,3
113,1908,4,1
114,1996,2,1
114,2000,1,2
115,1996,1,1
115,2000,1,2
116,1908,1,1
117,1992,1,1
117,2000,1,2
118,1920,3,1
119,1900,7,1
120,1924,2,1
121,1992,2,1
122,1920,3,1
122,1924,2,2
123,1992,1,1
124,1984,1,1
124,1988,2,2
124,1992,2,3
125,1988,1,1
126,1992,2,1
126,1996,1,2
127,1988,2,1
128,1912,2,1
129,1988,2,1
129,1992,1,2
129,1996,2,3
130,1988,2,1
131,1992,1,1
132,1992,2,1
132,1996,1,2
132,2000,1,3
132,2004,2,4
132,2008,2,5
133,1992,2,1
133,1996,1,2
134,1996,2,1
134,2000,2,2
134,2004,1,3
135,1996,1,1
135,2000,2,2
136,1992,1,1
136,1996,2,2
136,2000,1,3
136,2004,2,4
137,1992,2,1
