olympics,athlete,country,event
1904 Summer Olympics,Jack Egan,United States,"Boxing, Men's Lightweight (Z)"
1904 Summer Olympics,Jack Egan,United States,"Boxing, Men's Welterweight (Z)"
1948 Summer Olympics,Equestrian team (Gehnäll Persson),Sweden,"Equestrian, Team dressage (Z)"
1968 Summer Olympics,Modern Pentathlon team (Hans-Gunnar Liljenwall),Sweden,"Modern pentathlon, Team"
1972 Summer Olympics,Bakhvain Buyadaa,Mongolia,"Judo, Men's 63 kg (X)"
1972 Summer Olympics,Cycling team (Aad van den Hoek),Netherlands,"Cycling, Men's team time trial (X)"
1972 Summer Olympics,Jaime Huélamo,Spain,"Cycling, Men's individual road race (X)"
1972 Summer Olympics,Rick DeMont,United States,"Swimming, Men's 400 m freestyle"
1976 Winter Olympics,Galina Kulakova,Soviet Union,"Cross-Country Skiing, Women's 5 km"
1976 Summer Olympics,Valentin Khristov,Bulgaria,"Weightlifting, Men's 110 kg"
1976 Summer Olympics,Blagoy Blagoev,Bulgaria,"Weightlifting, Men's 82.5 kg"
1976 Summer Olympics,Zbigniew Kaczmarek,Poland,"Weightlifting, Men's 67.5 kg"
1984 Summer Olympics,Martti Vainio,Finland,"Athletics, Men's 10,000 m"
1984 Summer Olympics,Tomas Johansson,Sweden,"Wrestling, Men's Greco-Roman +100 kg"
1988 Summer Olympics,Mitko Grablev,Bulgaria,"Weightlifting, Men's 56 kg"
1988 Summer Olympics,Angel Guenchev,Bulgaria,"Weightlifting, Men's 67.5 kg"
1988 Summer Olympics,Ben Johnson,Canada,"Athletics, Men's 100 m"
1988 Summer Olympics,Andor Szanyi,Hungary,"Weightlifting, Men's 100 kg"
1988 Summer Olympics,Kerrith Brown,Great Britain,"Judo, Men's 71 kg"
1992 Summer Olympics,Ibragim Samadov,Unified Team,"Weightlifting, Men's 82.5 kg (X, Z)"
2000 Summer Olympics,Ashot Danielyan,Armenia,"Weightlifting, Men's +105 kg"
2000 Summer Olympics,Izabela Dragneva,Bulgaria,"Weightlifting, Women's 48 kg"
2000 Summer Olympics,Ivan Ivanov,Bulgaria,"Weightlifting, Men's 56 kg"
2000 Summer Olympics,Sevdalin Minchev,Bulgaria,"Weightlifting, Men's 62 kg"
2000 Summer Olympics,Gymnastics team (Dong Fangxiao),China,"Gymnastics, Women's artistic team all-around (Z)"
2000 Summer Olympics,Alexander Leipold,Germany,"Wrestling, Men's freestyle 76 kg"
2000 Summer Olympics,Andreea Răducan,Romania,"Gymnastics, Women's artistic individual all-around"
2000 Summer Olympics,Marion Jones,United States,"Athletics, Women's 100 m (X)"
2000 Summer Olympics,Marion Jones,United States,"Athletics, Women's 200 m"
2000 Summer Olympics,Marion Jones,United States,"Athletics, Women's 4 × 400 metres relay"
2000 Summer Olympics,Marion Jones,United States,"Athletics, Women's 4 × 100 metres relay"
2000 Summer Olympics,Marion Jones,United States,"Athletics, Women's long jump"
2000 Summer Olympics,"Relay team (Antonio Pettigrew, Jerome Young)",United States,"Athletics, Men's 4 × 400 m relay"
2000 Summer Olympics,Lance Armstrong,United States,"Cycling, Men's road time trial (X)"
2002 Winter Olympics,Alain Baxter,Great Britain,"Alpine Skiing, Men's slalom"
2002 Winter Olympics,Olga Danilova,Russia,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit"
2002 Winter Olympics,Olga Danilova,Russia,"Cross-Country Skiing, Women's 10 km classical"
2002 Winter Olympics,Larisa Lazutina,Russia,"Cross-Country Skiing, Women's 30 km classical"
2002 Winter Olympics,Larisa Lazutina,Russia,"Cross-Country Skiing, Women's 15 km freestyle mass start"
2002 Winter Olympics,Larisa Lazutina,Russia,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit"
2002 Winter Olympics,Johann Mühlegg,Spain,"Cross-Country Skiing, Men's 50 km classical"
2002 Winter Olympics,Johann Mühlegg,Spain,"Cross-Country Skiing, Men's 30 km freestyle"
2002 Winter Olympics,Johann Mühlegg,Spain,"Cross-Country Skiing, Men's 10 km + 10 km combined pursuit"
2004 Summer Olympics,Ivan Tsikhan,Belarus,"Athletics, Men's hammer throw (X)–2 medals not awarded"
2004 Summer Olympics,Iryna Yatchenko,Belarus,"Athletics, Women's discus throw"
2004 Summer Olympics,Equestrian team (Goldfever horse; Ludger Beerbaum rider),Germany,"Equestrian, Team show jumping"
2004 Summer Olympics,Leonidas Sabanis,Greece,"Weightlifting, Men's 62 kg"
2004 Summer Olympics,Adrián Annus,Hungary,"Athletics, Men's hammer throw"
2004 Summer Olympics,Róbert Fazekas,Hungary,"Athletics, Men's discus throw"
2004 Summer Olympics,Ferenc Gyurkovics,Hungary,"Weightlifting, Men's 105 kg"
2004 Summer Olympics,Waterford Crystal (horse; Cian O'Connor rider),Ireland,"Equestrian, Individual show jumping"
2004 Summer Olympics,Irina Korzhanenko,Russia,"Athletics, Women's shot put"
