country,gold,silver,bronze,total
Russia,15.0,21.0,13.0,49
United States,6.0,2.0,5.0,13
Ukraine,2.0,4.0,5.0,11
Belarus,2.0,3.0,6.0,11
Kazakhstan,6.0,2.0,2.0,10
Bulgaria,4.0,2.0,1.0,7
Turkey,1.0,4.0,0.0,5
China,3.0,0.0,1.0,4
Spain,3.0,0.0,1.0,4
Hungary,2.0,2.0,0.0,4
Uzbekistan,2.0,1.0,1.0,4
Romania,1.0,1.0,2.0,4
Sweden,1.0,1.0,2.0,4
Great Britain,0.0,1.0,2.0,3
Armenia,0.0,0.0,3.0,3
Moldova,0.0,0.0,3.0,3
Germany,2.0,0.0,0.0,2
Azerbaijan,0.0,1.0,1.0,2
North Korea,0.0,1.0,1.0,2
Greece,0.0,0.0,2.0,2
Bahrain,1.0,0.0,0.0,1
Canada,1.0,0.0,0.0,1
Ireland,1.0,0.0,0.0,1
Jamaica,1.0,0.0,0.0,1
Poland,1.0,0.0,0.0,1
ROC,1.0,0.0,0.0,1
Cuba,0.0,1.0,0.0,1
Finland,0.0,1.0,0.0,1
Georgia,0.0,1.0,0.0,1
Italy,0.0,1.0,0.0,1
Lithuania,0.0,1.0,0.0,1
Mongolia,0.0,1.0,0.0,1
Kyrgyzstan,0.0,0.0,1.0,1
Netherlands,0.0,0.0,1.0,1
Norway,0.0,0.0,1.0,1
Olympic Athletes from Russia,0.0,0.0,1.0,1
Soviet Union,0.0,0.0,1.0,1
Unified Team,0.0,0.0,1.0,1
Total,55.0,52.0,55.0,162
