sport_event_id,sport_event,event,sport,sport_id,weight_category_sport,season,collective_sport,gender_category
1,"Athletics,100 metres, Men","100 metres, Men",Athletics,1,False,Summer,False,Men
2,"Athletics,400 metres, Men","400 metres, Men",Athletics,1,False,Summer,False,Men
3,"Athletics,800 metres, Men","800 metres, Men",Athletics,1,False,Summer,False,Men
4,"Athletics,1,500 metres, Men","1,500 metres, Men",Athletics,1,False,Summer,False,Men
5,"Athletics,5 miles, Men","5 miles, Men",Athletics,1,False,Summer,False,Men
6,"Athletics,Marathon, Men","Marathon, Men",Athletics,1,False,Summer,False,Men
7,"Athletics,110 metres Hurdles, Men","110 metres Hurdles, Men",Athletics,1,False,Summer,False,Men
8,"Athletics,400 metres Hurdles, Men","400 metres Hurdles, Men",Athletics,1,False,Summer,False,Men
9,"Athletics,3,200 metres Steeplechase, Men","3,200 metres Steeplechase, Men",Athletics,1,False,Summer,False,Men
10,"Athletics,3,500 metres Race Walk, Men","3,500 metres Race Walk, Men",Athletics,1,False,Summer,False,Men
11,"Athletics,10 miles Race Walk, Men","10 miles Race Walk, Men",Athletics,1,False,Summer,False,Men
12,"Athletics,Standing High Jump, Men","Standing High Jump, Men",Athletics,1,False,Summer,False,Men
13,"Athletics,Long Jump, Men","Long Jump, Men",Athletics,1,False,Summer,False,Men
14,"Athletics,Standing Long Jump, Men","Standing Long Jump, Men",Athletics,1,False,Summer,False,Men
15,"Athletics,Triple Jump, Men","Triple Jump, Men",Athletics,1,False,Summer,False,Men
16,"Boxing,Lightweight, Men","Lightweight, Men",Boxing,2,True,Summer,False,Men
17,"Boxing,Middleweight, Men","Middleweight, Men",Boxing,2,True,Summer,False,Men
18,"Diving,Springboard, Men","Springboard, Men",Diving,3,False,Summer,False,Men
19,"Rugby,Rugby, Men","Rugby, Men",Rugby,4,False,Summer,True,Men
20,"Shooting,Small-Bore Rifle, Prone, 50 and 100 yards, Men","Small-Bore Rifle, Prone, 50 and 100 yards, Men",Shooting,5,False,Summer,False,Men
21,"Shooting,Small-Bore Rifle, Disappearing Target, 25 yards, Men","Small-Bore Rifle, Disappearing Target, 25 yards, Men",Shooting,5,False,Summer,False,Men
22,"Shooting,Small-Bore Rifle, Moving Target, 25 yards, Men","Small-Bore Rifle, Moving Target, 25 yards, Men",Shooting,5,False,Summer,False,Men
23,"Swimming,100 metres Freestyle, Men","100 metres Freestyle, Men",Swimming,6,False,Summer,False,Men
24,"Swimming,400 metres Freestyle, Men","400 metres Freestyle, Men",Swimming,6,False,Summer,False,Men
25,"Swimming,1,500 metres Freestyle, Men","1,500 metres Freestyle, Men",Swimming,6,False,Summer,False,Men
26,"Swimming,4 × 200 metres Freestyle Relay, Men","4 × 200 metres Freestyle Relay, Men",Swimming,6,False,Summer,True,Men
27,"Swimming,100 metres Backstroke, Men","100 metres Backstroke, Men",Swimming,6,False,Summer,False,Men
28,"Swimming,200 metres Breaststroke, Men","200 metres Breaststroke, Men",Swimming,6,False,Summer,False,Men
29,"Athletics,200 metres, Men","200 metres, Men",Athletics,1,False,Summer,False,Men
30,"Athletics,5,000 metres, Men","5,000 metres, Men",Athletics,1,False,Summer,False,Men
